"journal","pubYear","n","N","N.year.overall","N.percent","years_avail"
"International Social Work","1999","2",8,34,23.5294117647059,4
"International Social Work","1999","3",5,34,14.7058823529412,4
"International Social Work","1999","4+",1,34,2.94117647058824,4
"International Social Work","2000","1",16,37,43.2432432432432,4
"International Social Work","2000","2",14,37,37.8378378378378,4
"International Social Work","2000","3",6,37,16.2162162162162,4
"International Social Work","2000","4+",1,37,2.7027027027027,4
"International Social Work","2001","1",16,32,50,3
"International Social Work","2001","2",14,32,43.75,3
"International Social Work","2001","3",2,32,6.25,3
"International Social Work","2002","1",15,28,53.5714285714286,4
"International Social Work","2002","2",6,28,21.4285714285714,4
"International Social Work","2002","3",4,28,14.2857142857143,4
"International Social Work","2002","4+",3,28,10.7142857142857,4
"International Social Work","2003","1",18,32,56.25,4
"International Social Work","2003","2",3,32,9.375,4
"International Social Work","2003","3",10,32,31.25,4
"International Social Work","2003","4+",1,32,3.125,4
"International Social Work","2004","1",20,37,54.0540540540541,4
"International Social Work","2004","2",9,37,24.3243243243243,4
"International Social Work","2004","3",3,37,8.10810810810811,4
"International Social Work","2004","4+",5,37,13.5135135135135,4
"International Social Work","2005","1",36,64,56.25,4
"International Social Work","2005","2",19,64,29.6875,4
"International Social Work","2005","3",8,64,12.5,4
"International Social Work","2005","4+",1,64,1.5625,4
"International Social Work","2006","1",37,67,55.2238805970149,4
"International Social Work","2006","2",17,67,25.3731343283582,4
"International Social Work","2006","3",10,67,14.9253731343284,4
"International Social Work","2006","4+",3,67,4.47761194029851,4
"International Social Work","2007","1",25,65,38.4615384615385,4
"International Social Work","2007","2",25,65,38.4615384615385,4
"International Social Work","2007","3",9,65,13.8461538461538,4
"International Social Work","2007","4+",6,65,9.23076923076923,4
"International Social Work","2008","1",39,59,66.1016949152542,4
"International Social Work","2008","2",15,59,25.4237288135593,4
"International Social Work","2008","3",4,59,6.77966101694915,4
"International Social Work","2008","4+",1,59,1.69491525423729,4
"International Social Work","2009","1",31,59,52.5423728813559,4
"International Social Work","2009","2",18,59,30.5084745762712,4
"International Social Work","2009","3",3,59,5.08474576271187,4
"International Social Work","2009","4+",7,59,11.864406779661,4
"International Social Work","2010","1",20,55,36.3636363636364,4
"International Social Work","2010","2",19,55,34.5454545454545,4
"International Social Work","2010","3",8,55,14.5454545454545,4
"International Social Work","2010","4+",8,55,14.5454545454545,4
"International Social Work","2011","1",20,54,37.037037037037,4
"International Social Work","2011","2",21,54,38.8888888888889,4
"International Social Work","2011","3",7,54,12.962962962963,4
"International Social Work","2011","4+",6,54,11.1111111111111,4
"International Social Work","2012","1",17,47,36.1702127659575,4
"International Social Work","2012","2",17,47,36.1702127659575,4
"International Social Work","2012","3",5,47,10.6382978723404,4
"International Social Work","2012","4+",8,47,17.0212765957447,4
"International Social Work","2013","1",24,50,48,4
"International Social Work","2013","2",13,50,26,4
"International Social Work","2013","3",6,50,12,4
"International Social Work","2013","4+",7,50,14,4
"Journal of Applied Social Sciences","1994","1",4,5,80,2
"Journal of Applied Social Sciences","1994","2",1,5,20,2
"Journal of Applied Social Sciences","1996","1",8,19,42.1052631578947,4
"Journal of Applied Social Sciences","1996","2",6,19,31.5789473684211,4
"Journal of Applied Social Sciences","1996","3",2,19,10.5263157894737,4
"Journal of Applied Social Sciences","1996","4+",3,19,15.7894736842105,4
"Journal of Applied Social Sciences","1997","1",4,9,44.4444444444444,3
"Journal of Applied Social Sciences","1997","2",4,9,44.4444444444444,3
"Journal of Applied Social Sciences","1997","3",1,9,11.1111111111111,3
"Journal of Applied Social Sciences","1998","1",5,10,50,4
"Journal of Applied Social Sciences","1998","2",3,10,30,4
"Journal of Applied Social Sciences","1998","3",1,10,10,4
"Journal of Applied Social Sciences","1998","4+",1,10,10,4
"Journal of Applied Social Sciences","1999","1",4,4,100,1
"Journal of Baccalaureate Social Work","1995","1",4,8,50,4
"Journal of Baccalaureate Social Work","1995","2",2,8,25,4
"Journal of Baccalaureate Social Work","1995","3",1,8,12.5,4
"Journal of Baccalaureate Social Work","1995","4+",1,8,12.5,4
"Journal of Baccalaureate Social Work","1996","1",8,10,80,2
"Journal of Baccalaureate Social Work","1996","3",2,10,20,2
"Journal of Baccalaureate Social Work","1997","1",4,8,50,2
"Journal of Baccalaureate Social Work","1997","2",4,8,50,2
"Journal of Baccalaureate Social Work","1998","1",13,21,61.9047619047619,3
"Journal of Baccalaureate Social Work","1998","2",6,21,28.5714285714286,3
"Journal of Baccalaureate Social Work","1998","3",2,21,9.52380952380952,3
"Journal of Baccalaureate Social Work","1999","1",5,17,29.4117647058824,4
"Journal of Baccalaureate Social Work","1999","2",6,17,35.2941176470588,4
"Journal of Baccalaureate Social Work","1999","3",3,17,17.6470588235294,4
"Journal of Baccalaureate Social Work","1999","4+",3,17,17.6470588235294,4
"Journal of Baccalaureate Social Work","2000","1",11,22,50,3
"Journal of Baccalaureate Social Work","2000","2",7,22,31.8181818181818,3
"Journal of Baccalaureate Social Work","2000","3",4,22,18.1818181818182,3
"Journal of Baccalaureate Social Work","2001","1",9,18,50,3
"Journal of Baccalaureate Social Work","2001","2",6,18,33.3333333333333,3
"Journal of Baccalaureate Social Work","2001","3",3,18,16.6666666666667,3
"Journal of Baccalaureate Social Work","2002","1",7,11,63.6363636363636,3
"Journal of Baccalaureate Social Work","2002","2",2,11,18.1818181818182,3
"Journal of Baccalaureate Social Work","2002","3",2,11,18.1818181818182,3
"Journal of Baccalaureate Social Work","2003","1",2,9,22.2222222222222,4
"Journal of Baccalaureate Social Work","2003","2",3,9,33.3333333333333,4
"Journal of Baccalaureate Social Work","2003","3",3,9,33.3333333333333,4
"Journal of Baccalaureate Social Work","2003","4+",1,9,11.1111111111111,4
"Journal of Baccalaureate Social Work","2004","1",10,19,52.6315789473684,4
"Journal of Baccalaureate Social Work","2004","2",6,19,31.5789473684211,4
"Journal of Baccalaureate Social Work","2004","3",2,19,10.5263157894737,4
"Journal of Baccalaureate Social Work","2004","4+",1,19,5.26315789473684,4
"Journal of Baccalaureate Social Work","2005","1",9,26,34.6153846153846,3
"Journal of Baccalaureate Social Work","2005","2",10,26,38.4615384615385,3
"Journal of Baccalaureate Social Work","2005","3",7,26,26.9230769230769,3
"Journal of Baccalaureate Social Work","2006","1",14,27,51.8518518518518,4
"Journal of Baccalaureate Social Work","2006","2",6,27,22.2222222222222,4
"Journal of Baccalaureate Social Work","2006","3",3,27,11.1111111111111,4
"Journal of Baccalaureate Social Work","2006","4+",4,27,14.8148148148148,4
"Journal of Baccalaureate Social Work","2007","1",2,17,11.7647058823529,4
"Journal of Baccalaureate Social Work","2007","2",5,17,29.4117647058824,4
"Journal of Baccalaureate Social Work","2007","3",6,17,35.2941176470588,4
"Journal of Baccalaureate Social Work","2007","4+",4,17,23.5294117647059,4
"Journal of Baccalaureate Social Work","2008","1",3,10,30,4
"Journal of Baccalaureate Social Work","2008","2",3,10,30,4
"Journal of Baccalaureate Social Work","2008","3",3,10,30,4
"Journal of Baccalaureate Social Work","2008","4+",1,10,10,4
"Journal of Baccalaureate Social Work","2009","1",6,19,31.5789473684211,4
"Journal of Baccalaureate Social Work","2009","2",6,19,31.5789473684211,4
"Journal of Baccalaureate Social Work","2009","3",6,19,31.5789473684211,4
"Journal of Baccalaureate Social Work","2009","4+",1,19,5.26315789473684,4
"Journal of Baccalaureate Social Work","2010","1",5,13,38.4615384615385,3
"Journal of Baccalaureate Social Work","2010","2",7,13,53.8461538461538,3
"Journal of Baccalaureate Social Work","2010","4+",1,13,7.69230769230769,3
"Journal of Baccalaureate Social Work","2011","1",1,12,8.33333333333333,4
"Journal of Baccalaureate Social Work","2011","2",6,12,50,4
"Journal of Baccalaureate Social Work","2011","3",1,12,8.33333333333333,4
"Journal of Baccalaureate Social Work","2011","4+",4,12,33.3333333333333,4
"Journal of Baccalaureate Social Work","2013","1",6,25,24,4
"Journal of Baccalaureate Social Work","2013","2",11,25,44,4
"Journal of Baccalaureate Social Work","2013","3",6,25,24,4
"Journal of Baccalaureate Social Work","2013","4+",2,25,8,4
"Journal of Community Practice","1994","1",8,21,38.0952380952381,3
"Journal of Community Practice","1994","2",11,21,52.3809523809524,3
"Journal of Community Practice","1994","3",2,21,9.52380952380952,3
"Journal of Community Practice","1995","1",14,20,70,4
"Journal of Community Practice","1995","2",4,20,20,4
"Journal of Community Practice","1995","3",1,20,5,4
"Journal of Community Practice","1995","4+",1,20,5,4
"Journal of Community Practice","1996","1",12,16,75,2
"Journal of Community Practice","1996","2",4,16,25,2
"Journal of Community Practice","1997","1",13,21,61.9047619047619,2
"Journal of Community Practice","1997","2",8,21,38.0952380952381,2
"Journal of Community Practice","1998","1",7,16,43.75,3
"Journal of Community Practice","1998","2",7,16,43.75,3
"Journal of Community Practice","1998","3",2,16,12.5,3
"Journal of Community Practice","1999","1",6,21,28.5714285714286,4
"Journal of Community Practice","1999","2",10,21,47.6190476190476,4
"Journal of Community Practice","1999","3",3,21,14.2857142857143,4
"Journal of Community Practice","1999","4+",2,21,9.52380952380952,4
"Journal of Community Practice","2000","1",14,40,35,4
"Journal of Community Practice","2000","2",18,40,45,4
"Journal of Community Practice","2000","3",4,40,10,4
"Journal of Community Practice","2000","4+",4,40,10,4
"Journal of Community Practice","2001","1",9,22,40.9090909090909,3
"Journal of Community Practice","2001","2",10,22,45.4545454545455,3
"Journal of Community Practice","2001","4+",3,22,13.6363636363636,3
"Journal of Community Practice","2002","1",8,20,40,4
"Journal of Community Practice","2002","2",8,20,40,4
"Journal of Community Practice","2002","3",3,20,15,4
"Journal of Community Practice","2002","4+",1,20,5,4
"Journal of Community Practice","2003","1",13,23,56.5217391304348,4
"Journal of Community Practice","2003","2",7,23,30.4347826086957,4
"Journal of Community Practice","2003","3",2,23,8.69565217391304,4
"Journal of Community Practice","2003","4+",1,23,4.34782608695652,4
"Journal of Community Practice","2004","1",8,23,34.7826086956522,4
"Journal of Community Practice","2004","2",10,23,43.4782608695652,4
"Journal of Community Practice","2004","3",2,23,8.69565217391304,4
"Journal of Community Practice","2004","4+",3,23,13.0434782608696,4
"Journal of Community Practice","2005","1",11,31,35.4838709677419,4
"Journal of Community Practice","2005","2",6,31,19.3548387096774,4
"Journal of Community Practice","2005","3",8,31,25.8064516129032,4
"Journal of Community Practice","2005","4+",6,31,19.3548387096774,4
"Journal of Community Practice","2006","1",4,14,28.5714285714286,4
"Journal of Community Practice","2006","2",3,14,21.4285714285714,4
"Journal of Community Practice","2006","3",4,14,28.5714285714286,4
"Journal of Community Practice","2006","4+",3,14,21.4285714285714,4
"Journal of Community Practice","2007","1",9,27,33.3333333333333,4
"Journal of Community Practice","2007","2",7,27,25.9259259259259,4
"Journal of Community Practice","2007","3",1,27,3.7037037037037,4
"Journal of Community Practice","2007","4+",10,27,37.037037037037,4
"Journal of Community Practice","2008","1",15,31,48.3870967741936,4
"Journal of Community Practice","2008","2",8,31,25.8064516129032,4
"Journal of Community Practice","2008","3",7,31,22.5806451612903,4
"Journal of Community Practice","2008","4+",1,31,3.2258064516129,4
"Journal of Community Practice","2009","1",12,27,44.4444444444444,4
"Journal of Community Practice","2009","2",9,27,33.3333333333333,4
"Journal of Community Practice","2009","3",2,27,7.40740740740741,4
"Journal of Community Practice","2009","4+",4,27,14.8148148148148,4
"Journal of Community Practice","2010","1",5,25,20,4
"Journal of Community Practice","2010","2",6,25,24,4
"Journal of Community Practice","2010","3",11,25,44,4
"Journal of Community Practice","2010","4+",3,25,12,4
"Journal of Community Practice","2011","1",9,24,37.5,4
"Journal of Community Practice","2011","2",9,24,37.5,4
"Journal of Community Practice","2011","3",4,24,16.6666666666667,4
"Journal of Community Practice","2011","4+",2,24,8.33333333333333,4
"Journal of Community Practice","2012","1",7,15,46.6666666666667,4
"Journal of Community Practice","2012","2",2,15,13.3333333333333,4
"Journal of Community Practice","2012","3",3,15,20,4
"Journal of Community Practice","2012","4+",3,15,20,4
"Journal of Community Practice","2013","1",6,23,26.0869565217391,4
"Journal of Community Practice","2013","2",6,23,26.0869565217391,4
"Journal of Community Practice","2013","3",6,23,26.0869565217391,4
"Journal of Community Practice","2013","4+",5,23,21.7391304347826,4
"Journal of Comparative Social Welfare","2006","1",4,5,80,2
"Journal of Comparative Social Welfare","2006","2",1,5,20,2
"Journal of Comparative Social Welfare","2008","1",4,7,57.1428571428571,2
"Journal of Comparative Social Welfare","2008","2",3,7,42.8571428571429,2
"Journal of Comparative Social Welfare","2009","1",7,19,36.8421052631579,3
"Journal of Comparative Social Welfare","2009","2",10,19,52.6315789473684,3
"Journal of Comparative Social Welfare","2009","3",2,19,10.5263157894737,3
"Journal of Comparative Social Welfare","2010","1",13,17,76.4705882352941,3
"Journal of Comparative Social Welfare","2010","2",3,17,17.6470588235294,3
"Journal of Comparative Social Welfare","2010","3",1,17,5.88235294117647,3
"Journal of Comparative Social Welfare","2011","1",4,10,40,3
"Journal of Comparative Social Welfare","2011","2",5,10,50,3
"Journal of Comparative Social Welfare","2011","3",1,10,10,3
"Journal of Comparative Social Welfare","2012","1",5,7,71.4285714285714,3
"Journal of Comparative Social Welfare","2012","2",1,7,14.2857142857143,3
"Journal of Comparative Social Welfare","2012","4+",1,7,14.2857142857143,3
"Journal of Ethnic & Cultural Diversity in Social Work","1999","1",9,10,90,2
"Journal of Ethnic & Cultural Diversity in Social Work","1999","2",1,10,10,2
"Journal of Ethnic & Cultural Diversity in Social Work","2000","1",10,19,52.6315789473684,3
"Journal of Ethnic & Cultural Diversity in Social Work","2000","2",7,19,36.8421052631579,3
"Journal of Ethnic & Cultural Diversity in Social Work","2000","3",2,19,10.5263157894737,3
